RiskIssueKey,RiskIssueID,ProjectKey,RecordType,RiskTitle,RiskCategory,Probability,Impact,RiskScore,RiskSeverity,Owner,IdentifiedDateKey,DueDateKey,ClosedDateKey,IdentifiedDate,DueDate,ClosedDate,RiskStatus,MitigationStatus,IsCritical,IsOverdue
21,RI-004-04,4,Risk,Defect closure rate may miss the exit criterion,Quality,5,5,25,Critical,Project Manager,20251107,20260329,20260102,2025-11-07,2026-03-29,2026-01-02,Closed,Completed,0,0
22,RI-004-05,4,Risk,Integration sequence may compress validation,Schedule,1,5,5,Low,Product Owner,20260612,20260811,,2026-06-12,2026-08-11,,Monitoring,In Progress,0,0
23,RI-005-01,5,Risk,Integration sequence may compress validation,Schedule,4,3,12,High,Supplier Manager,20260713,20260811,,2026-07-13,2026-08-11,,Mitigated,Completed,0,0
24,RI-005-02,5,Risk,Pilot readiness depends on unresolved actions — Digital Twin Services,Schedule,2,2,4,Low,Release Manager,20260801,20260811,,2026-08-01,2026-08-11,,Monitoring,In Progress,0,0
25,RI-005-03,5,Issue,Critical skill coverage is below demand — Digital Twin Services,Resource,3,4,12,High,Technical Lead,20260717,20260811,20260718,2026-07-17,2026-08-11,2026-07-18,Closed,Completed,0,0
26,RI-005-04,5,Risk,Legacy data quality could require redesign — Digital Twin Services,Technical,4,2,8,Medium,Systems Lead,20260806,20260811,,2026-08-06,2026-08-11,,Open,Not Started,0,0
27,RI-005-05,5,Risk,Test environment availability may move the baseline — Digital Twin Services,Schedule,3,5,15,High,Security Lead,20260731,20260811,,2026-07-31,2026-08-11,,Monitoring,In Progress,0,0
28,RI-006-01,6,Issue,Pilot readiness depends on unresolved actions,Schedule,4,2,8,Medium,Project Manager,20260104,20260226,20260114,2026-01-04,2026-02-26,2026-01-14,Closed,Completed,0,0
29,RI-006-02,6,Risk,Scope clarification may require a budget change,Cost,3,4,12,High,Product Owner,20260207,20260522,,2026-02-07,2026-05-22,,Mitigated,Completed,0,0
30,RI-006-03,6,Risk,Performance margin may not meet the target,Technical,4,4,16,High,Quality Lead,20260704,20260811,,2026-07-04,2026-08-11,,Monitoring,In Progress,0,0
31,RI-006-04,6,Risk,Regression scope may exceed the test window — Operations Reliability Hub,Quality,3,3,9,Medium,Finance Partner,20260322,20260613,,2026-03-22,2026-06-13,,Mitigated,Completed,0,0
32,RI-006-05,6,Risk,Field issue recurrence needs containment,Quality,3,4,12,High,Data Lead,20260131,20260309,,2026-01-31,2026-03-09,,Mitigated,Completed,0,0
33,RI-006-06,6,Risk,Platform release timing may create a mismatch — Operations Reliability Hub,Dependency,4,2,8,Medium,Project Manager,20260408,20260615,20260616,2026-04-08,2026-06-15,2026-06-16,Closed,Not Required,0,0
34,RI-006-07,6,Risk,Test environment availability may move the baseline — Operations Reliability Hub,Schedule,3,4,12,High,Product Owner,20260327,20260730,,2026-03-27,2026-07-30,,Mitigated,Completed,0,0
35,RI-007-01,7,Issue,Platform release timing may create a mismatch,Dependency,4,2,8,Medium,Systems Lead,20260220,20260422,,2026-02-20,2026-04-22,,Open,In Progress,0,1
36,RI-007-02,7,Risk,Upstream data contract remains unresolved — Remote Monitoring Upgrade,Dependency,2,2,4,Low,Security Lead,20260525,20260811,20260611,2026-05-25,2026-08-11,2026-06-11,Closed,Completed,0,0
37,RI-007-03,7,Issue,Field issue recurrence needs containment,Quality,4,2,8,Medium,Supplier Manager,20260328,20260531,20260510,2026-03-28,2026-05-31,2026-05-10,Closed,Completed,0,0
38,RI-007-04,7,Risk,Integration sequence may compress validation,Schedule,2,1,2,Low,Release Manager,20251210,20260217,20260103,2025-12-10,2026-02-17,2026-01-03,Closed,Completed,0,0
39,RI-007-05,7,Risk,Supplier lead time threatens the next gate — Remote Monitoring Upgrade,Schedule,5,3,15,High,Technical Lead,20260507,20260712,,2026-05-07,2026-07-12,,Monitoring,Completed,0,1
40,RI-007-06,7,Issue,Supplier lead time threatens the next gate,Schedule,3,1,3,Low,Systems Lead,20260125,20260617,20260214,2026-01-25,2026-06-17,2026-02-14,Closed,Completed,0,0
41,RI-007-07,7,Issue,Supplier lead time threatens the next gate,Schedule,3,4,12,High,Security Lead,20260215,20260523,20260406,2026-02-15,2026-05-23,2026-04-06,Closed,Completed,0,0
42,RI-008-01,8,Issue,Defect closure rate may miss the exit criterion,Quality,2,3,6,Medium,Finance Partner,20260730,20260811,,2026-07-30,2026-08-11,,Mitigated,Completed,0,0
43,RI-008-02,8,Risk,Interface behavior remains unproven,Technical,4,2,8,Medium,Data Lead,20260706,20260811,20260713,2026-07-06,2026-08-11,2026-07-13,Closed,Completed,0,0
44,RI-008-03,8,Issue,Field issue recurrence needs containment,Quality,3,5,15,High,Project Manager,20260530,20260728,,2026-05-30,2026-07-28,,Open,Not Started,0,1
45,RI-008-04,8,Risk,Scope clarification may require a budget change — Energy Optimization Analytics,Cost,3,4,12,High,Product Owner,20260609,20260811,,2026-06-09,2026-08-11,,Monitoring,In Progress,0,0
46,RI-008-05,8,Risk,Platform release timing may create a mismatch,Dependency,2,3,6,Medium,Quality Lead,20260605,20260803,,2026-06-05,2026-08-03,,Open,Not Started,0,1
47,RI-008-06,8,Risk,Legacy data quality could require redesign,Technical,3,4,12,High,Finance Partner,20260409,20260702,,2026-04-09,2026-07-02,,Mitigated,Completed,0,0
48,RI-009-01,9,Issue,Security approval is on the critical path — Cloud Control Plane,Dependency,4,5,20,Critical,Release Manager,20251118,20260203,,2025-11-18,2026-02-03,,Mitigated,Completed,0,0
49,RI-009-02,9,Risk,Prototype result may require architecture rework — Cloud Control Plane,Technical,3,2,6,Medium,Technical Lead,20251123,20260115,20251126,2025-11-23,2026-01-15,2025-11-26,Closed,Not Required,0,0
50,RI-009-03,9,Risk,Regression scope may exceed the test window — Cloud Control Plane,Quality,4,2,8,Medium,Systems Lead,20260320,20260619,20260405,2026-03-20,2026-06-19,2026-04-05,Closed,Completed,0,0
51,RI-009-04,9,Risk,Legacy data quality could require redesign — Cloud Control Plane,Technical,3,2,6,Medium,Security Lead,20260518,20260804,,2026-05-18,2026-08-04,,Open,Not Started,0,1
52,RI-010-01,10,Issue,Environment parity is not yet demonstrated,Technical,2,3,6,Medium,Product Owner,20260807,20260811,,2026-08-07,2026-08-11,,Monitoring,In Progress,0,0
53,RI-010-02,10,Issue,Interface behavior remains unproven — Equipment Health Scoring,Technical,3,5,15,High,Quality Lead,20260330,20260525,,2026-03-30,2026-05-25,,Monitoring,In Progress,0,1
54,RI-010-03,10,Risk,Review capacity is concentrated in one role — Equipment Health Scoring,Resource,3,2,6,Medium,Finance Partner,20260504,20260723,,2026-05-04,2026-07-23,,Mitigated,Completed,0,0
55,RI-011-01,11,Risk,Specialist rate mix is above plan,Cost,2,1,2,Low,Security Lead,20260328,20260613,,2026-03-28,2026-06-13,,Monitoring,In Progress,0,1
56,RI-011-02,11,Risk,Critical skill coverage is below demand,Resource,3,3,9,Medium,Supplier Manager,20260516,20260811,,2026-05-16,2026-08-11,,Monitoring,In Progress,0,0
57,RI-011-03,11,Risk,Prototype result may require architecture rework — Workflow Automation Studio,Technical,3,1,3,Low,Release Manager,20260410,20260528,,2026-04-10,2026-05-28,,Mitigated,Completed,0,0
58,RI-011-04,11,Issue,Performance margin may not meet the target,Technical,2,5,10,Medium,Technical Lead,20260804,20260811,,2026-08-04,2026-08-11,,Open,In Progress,0,0
59,RI-012-01,12,Issue,Test environment availability may move the baseline,Schedule,4,3,12,High,Data Lead,20251210,20260430,20260212,2025-12-10,2026-04-30,2026-02-12,Closed,Completed,0,0
60,RI-012-02,12,Risk,Cloud run cost is trending above the baseline — RDE Portfolio Telemetry,Cost,3,3,9,Medium,Project Manager,20260807,20260811,20260811,2026-08-07,2026-08-11,2026-08-11,Closed,Completed,0,0
61,RI-012-03,12,Risk,Legacy data quality could require redesign — RDE Portfolio Telemetry,Technical,3,5,15,High,Product Owner,20251120,20260317,20251206,2025-11-20,2026-03-17,2025-12-06,Closed,Completed,0,0
62,RI-012-04,12,Risk,Scope clarification may require a budget change — RDE Portfolio Telemetry,Cost,5,2,10,Medium,Quality Lead,20260216,20260320,,2026-02-16,2026-03-20,,Monitoring,In Progress,0,1
63,RI-012-05,12,Risk,Competing portfolio priority constrains staffing — RDE Portfolio Telemetry,Resource,2,2,4,Low,Finance Partner,20260715,20260811,,2026-07-15,2026-08-11,,Open,Not Started,0,0
64,RI-013-01,13,Risk,Field issue recurrence needs containment — Quality Signal Intelligence,Quality,3,1,3,Low,Technical Lead,20260520,20260811,,2026-05-20,2026-08-11,,Open,Not Started,0,0
65,RI-013-02,13,Issue,Pilot readiness depends on unresolved actions — Quality Signal Intelligence,Schedule,2,3,6,Medium,Systems Lead,20260727,20260811,,2026-07-27,2026-08-11,,Monitoring,In Progress,0,0
66,RI-013-03,13,Issue,Environment parity is not yet demonstrated,Technical,1,4,4,Low,Security Lead,20260121,20260412,,2026-01-21,2026-04-12,,Monitoring,In Progress,0,1
67,RI-013-04,13,Risk,Prototype result may require architecture rework,Technical,1,3,3,Low,Supplier Manager,20260112,20260509,,2026-01-12,2026-05-09,,Mitigated,Completed,0,0
68,RI-013-05,13,Risk,Review capacity is concentrated in one role — Quality Signal Intelligence,Resource,5,1,5,Low,Release Manager,20260802,20260811,,2026-08-02,2026-08-11,,Open,In Progress,0,0
69,RI-013-06,13,Risk,Committed spend limits recovery options,Cost,4,1,4,Low,Technical Lead,20260205,20260521,,2026-02-05,2026-05-21,,Open,Not Started,0,1
70,RI-014-01,14,Risk,Competing portfolio priority constrains staffing,Resource,3,3,9,Medium,Quality Lead,20260705,20260811,,2026-07-05,2026-08-11,,Open,Not Started,0,0
71,RI-014-02,14,Risk,Backfill timing creates a capacity gap — Condition Monitoring Refresh,Resource,3,2,6,Medium,Finance Partner,20260630,20260810,,2026-06-30,2026-08-10,,Mitigated,Completed,0,0
72,RI-014-03,14,Issue,Vendor component readiness is uncertain — Condition Monitoring Refresh,Dependency,3,3,9,Medium,Data Lead,20260804,20260811,,2026-08-04,2026-08-11,,Monitoring,In Progress,0,0
73,RI-014-04,14,Risk,Vendor component readiness is uncertain — Condition Monitoring Refresh,Dependency,3,2,6,Medium,Project Manager,20260724,20260811,,2026-07-24,2026-08-11,,Monitoring,In Progress,0,0
74,RI-014-05,14,Risk,Supplier lead time threatens the next gate,Schedule,2,3,6,Medium,Product Owner,20260707,20260811,,2026-07-07,2026-08-11,,Mitigated,Completed,0,0
75,RI-014-06,14,Risk,Rework could consume management reserve,Cost,2,3,6,Medium,Quality Lead,20260729,20260811,,2026-07-29,2026-08-11,,Open,Not Started,0,0
76,RI-014-07,14,Risk,Security approval is on the critical path,Dependency,4,3,12,High,Finance Partner,20260618,20260811,,2026-06-18,2026-08-11,,Monitoring,In Progress,0,0
77,RI-015-01,15,Risk,Test environment availability may move the baseline — Field Service Decision Support,Schedule,2,3,6,Medium,Supplier Manager,20251205,20260215,,2025-12-05,2026-02-15,,Monitoring,In Progress,0,1
78,RI-015-02,15,Issue,Review capacity is concentrated in one role,Resource,2,2,4,Low,Release Manager,20260224,20260423,,2026-02-24,2026-04-23,,Mitigated,Completed,0,0
79,RI-015-03,15,Issue,Upstream data contract remains unresolved,Dependency,4,5,20,Critical,Technical Lead,20251111,20260210,,2025-11-11,2026-02-10,,Monitoring,Completed,1,1
80,RI-015-04,15,Risk,Vendor component readiness is uncertain — Field Service Decision Support,Dependency,2,1,2,Low,Systems Lead,20260705,20260811,,2026-07-05,2026-08-11,,Monitoring,In Progress,0,0
81,RI-015-05,15,Issue,Traceability coverage requires remediation,Quality,4,1,4,Low,Security Lead,20260622,20260811,,2026-06-22,2026-08-11,,Open,Not Started,0,0
82,RI-015-06,15,Issue,Performance margin may not meet the target,Technical,5,4,20,Critical,Supplier Manager,20260623,20260811,,2026-06-23,2026-08-11,,Monitoring,In Progress,1,0
83,RI-016-01,16,Risk,Integration sequence may compress validation — Asset Performance API,Schedule,4,1,4,Low,Project Manager,20260312,20260525,,2026-03-12,2026-05-25,,Mitigated,Completed,0,0
84,RI-016-02,16,Risk,Prototype result may require architecture rework — Asset Performance API,Technical,1,3,3,Low,Product Owner,20251218,20260226,20260215,2025-12-18,2026-02-26,2026-02-15,Closed,Not Required,0,0
85,RI-016-03,16,Risk,Customer test access is not yet confirmed — Asset Performance API,Dependency,3,4,12,High,Quality Lead,20260323,20260604,,2026-03-23,2026-06-04,,Open,Not Started,0,1
86,RI-016-04,16,Risk,Defect closure rate may miss the exit criterion,Quality,1,2,2,Low,Finance Partner,20260601,20260811,,2026-06-01,2026-08-11,,Monitoring,In Progress,0,0
87,RI-016-05,16,Risk,Shared engineer availability may delay delivery — Asset Performance API,Resource,2,1,2,Low,Data Lead,20260222,20260512,20260421,2026-02-22,2026-05-12,2026-04-21,Closed,Completed,0,0
88,RI-016-06,16,Risk,Supplier lead time threatens the next gate,Schedule,4,2,8,Medium,Project Manager,20260611,20260811,,2026-06-11,2026-08-11,,Open,Not Started,0,0
89,RI-017-01,17,Risk,Defect closure rate may miss the exit criterion — Cyber Hardening Release,Quality,3,2,6,Medium,Systems Lead,20260328,20260618,20260405,2026-03-28,2026-06-18,2026-04-05,Closed,Completed,0,0
90,RI-017-02,17,Risk,Committed spend limits recovery options — Cyber Hardening Release,Cost,3,4,12,High,Security Lead,20260424,20260711,,2026-04-24,2026-07-11,,Mitigated,Completed,0,0
91,RI-017-03,17,Issue,Test environment availability may move the baseline — Cyber Hardening Release,Schedule,2,3,6,Medium,Supplier Manager,20260309,20260620,20260426,2026-03-09,2026-06-20,2026-04-26,Closed,Not Required,0,0
92,RI-017-04,17,Risk,Environment parity is not yet demonstrated — Cyber Hardening Release,Technical,2,3,6,Medium,Release Manager,20260504,20260811,,2026-05-04,2026-08-11,,Monitoring,Completed,0,0
93,RI-017-05,17,Risk,Release window has limited recovery float,Schedule,2,2,4,Low,Technical Lead,20260808,20260811,,2026-08-08,2026-08-11,,Mitigated,Completed,0,0
94,RI-017-06,17,Risk,Vendor component readiness is uncertain,Dependency,3,4,12,High,Systems Lead,20260616,20260811,,2026-06-16,2026-08-11,,Monitoring,Completed,0,0
95,RI-017-07,17,Risk,Field issue recurrence needs containment — Cyber Hardening Release,Quality,4,3,12,High,Security Lead,20260603,20260811,,2026-06-03,2026-08-11,,Open,Not Started,0,0
96,RI-018-01,18,Issue,Regression scope may exceed the test window — Engineering Knowledge Graph,Quality,5,3,15,High,Finance Partner,20260714,20260811,,2026-07-14,2026-08-11,,Open,Not Started,0,0
97,RI-018-02,18,Risk,Integration sequence may compress validation,Schedule,3,4,12,High,Data Lead,20260530,20260721,,2026-05-30,2026-07-21,,Mitigated,Completed,0,0
98,RI-018-03,18,Risk,Pilot readiness depends on unresolved actions,Schedule,1,2,2,Low,Project Manager,20260411,20260702,,2026-04-11,2026-07-02,,Monitoring,In Progress,0,1
99,RI-018-04,18,Risk,Security approval is on the critical path — Engineering Knowledge Graph,Dependency,3,4,12,High,Product Owner,20260302,20260501,,2026-03-02,2026-05-01,,Monitoring,In Progress,0,1
100,RI-018-05,18,Risk,Pilot readiness depends on unresolved actions — Engineering Knowledge Graph,Schedule,5,3,15,High,Quality Lead,20260611,20260811,,2026-06-11,2026-08-11,,Monitoring,In Progress,0,0
101,RI-018-06,18,Issue,Interface behavior remains unproven,Technical,2,5,10,Medium,Finance Partner,20260804,20260811,,2026-08-04,2026-08-11,,Open,In Progress,0,0
102,RI-018-07,18,Risk,Competing portfolio priority constrains staffing,Resource,3,3,9,Medium,Data Lead,20260805,20260811,,2026-08-05,2026-08-11,,Open,Not Started,0,0
103,RI-019-01,19,Issue,Review capacity is concentrated in one role — Release Governance Automation,Resource,1,5,5,Low,Release Manager,20260724,20260811,,2026-07-24,2026-08-11,,Monitoring,Completed,0,0
104,RI-019-02,19,Issue,Release window has limited recovery float,Schedule,3,2,6,Medium,Technical Lead,20260712,20260811,,2026-07-12,2026-08-11,,Open,Not Started,0,0
105,RI-019-03,19,Risk,Shared engineer availability may delay delivery — Release Governance Automation,Resource,3,3,9,Medium,Systems Lead,20260728,20260811,,2026-07-28,2026-08-11,,Mitigated,Completed,0,0
106,RI-019-04,19,Risk,Upstream data contract remains unresolved — Release Governance Automation,Dependency,1,3,3,Low,Security Lead,20260316,20260506,,2026-03-16,2026-05-06,,Monitoring,In Progress,0,1
107,RI-019-05,19,Issue,Contractor transition may reduce throughput — Release Governance Automation,Resource,5,5,25,Critical,Supplier Manager,20260428,20260715,20260808,2026-04-28,2026-07-15,2026-08-08,Closed,Completed,0,0
108,RI-019-06,19,Risk,Field issue recurrence needs containment — Release Governance Automation,Quality,4,2,8,Medium,Release Manager,20260520,20260811,,2026-05-20,2026-08-11,,Open,Not Started,0,0
109,RI-020-01,20,Risk,Review capacity is concentrated in one role — Sensor Diagnostics Platform,Resource,3,3,9,Medium,Product Owner,20260629,20260811,,2026-06-29,2026-08-11,,Open,In Progress,0,0
110,RI-020-02,20,Risk,Material quotation may exceed the estimate — Sensor Diagnostics Platform,Cost,4,2,8,Medium,Quality Lead,20260811,20260811,,2026-08-11,2026-08-11,,Monitoring,In Progress,0,0
111,RI-020-03,20,Risk,Scope clarification may require a budget change,Cost,2,3,6,Medium,Finance Partner,20260410,20260713,20260723,2026-04-10,2026-07-13,2026-07-23,Closed,Not Required,0,0
112,RI-020-04,20,Risk,Late design decision may affect downstream work,Schedule,3,3,9,Medium,Data Lead,20260416,20260626,,2026-04-16,2026-06-26,,Mitigated,Completed,0,0
113,RI-020-05,20,Issue,Traceability coverage requires remediation — Sensor Diagnostics Platform,Quality,2,1,2,Low,Project Manager,20260122,20260329,20260413,2026-01-22,2026-03-29,2026-04-13,Closed,Completed,0,0
114,RI-020-06,20,Risk,Backfill timing creates a capacity gap,Resource,4,2,8,Medium,Product Owner,20260417,20260616,20260610,2026-04-17,2026-06-16,2026-06-10,Closed,Completed,0,0
115,RI-020-07,20,Risk,Late design decision may affect downstream work — Sensor Diagnostics Platform,Schedule,2,2,4,Low,Quality Lead,20260403,20260622,,2026-04-03,2026-06-22,,Mitigated,Completed,0,0
116,RI-021-01,21,Risk,Competing portfolio priority constrains staffing — Customer Operations Portal,Resource,2,4,8,Medium,Security Lead,20260603,20260725,,2026-06-03,2026-07-25,,Mitigated,Completed,0,0
117,RI-021-02,21,Risk,Review capacity is concentrated in one role — Customer Operations Portal,Resource,1,4,4,Low,Supplier Manager,20260301,20260525,20260508,2026-03-01,2026-05-25,2026-05-08,Closed,Completed,0,0
118,RI-021-03,21,Issue,Review capacity is concentrated in one role — Customer Operations Portal,Resource,5,4,20,Critical,Release Manager,20260131,20260330,20260402,2026-01-31,2026-03-30,2026-04-02,Closed,Completed,0,0
119,RI-021-04,21,Risk,Environment parity is not yet demonstrated — Customer Operations Portal,Technical,3,2,6,Medium,Technical Lead,20260629,20260806,20260727,2026-06-29,2026-08-06,2026-07-27,Closed,Completed,0,0
120,RI-021-05,21,Risk,Scope clarification may require a budget change,Cost,4,3,12,High,Systems Lead,20260716,20260811,,2026-07-16,2026-08-11,,Open,In Progress,0,0
121,RI-022-01,22,Issue,Pilot readiness depends on unresolved actions — Model Lifecycle Controls,Schedule,3,3,9,Medium,Data Lead,20260519,20260811,,2026-05-19,2026-08-11,,Monitoring,In Progress,0,0
122,RI-022-02,22,Risk,Interface behavior remains unproven,Technical,1,4,4,Low,Project Manager,20260605,20260811,,2026-06-05,2026-08-11,,Open,Not Started,0,0
123,RI-022-03,22,Risk,Legacy data quality could require redesign,Technical,3,3,9,Medium,Product Owner,20260616,20260811,,2026-06-16,2026-08-11,,Monitoring,In Progress,0,0
124,RI-022-04,22,Risk,Prototype result may require architecture rework — Model Lifecycle Controls,Technical,4,2,8,Medium,Quality Lead,20260630,20260811,,2026-06-30,2026-08-11,,Monitoring,In Progress,0,0
125,RI-022-05,22,Issue,Interface behavior remains unproven — Model Lifecycle Controls,Technical,4,2,8,Medium,Finance Partner,20260629,20260811,,2026-06-29,2026-08-11,,Monitoring,In Progress,0,0
126,RI-022-06,22,Issue,Verification evidence is incomplete,Quality,2,3,6,Medium,Data Lead,20260702,20260811,,2026-07-02,2026-08-11,,Open,In Progress,0,0
127,RI-022-07,22,Issue,Upstream data contract remains unresolved — Model Lifecycle Controls,Dependency,1,5,5,Low,Project Manager,20260802,20260811,,2026-08-02,2026-08-11,,Monitoring,In Progress,0,0
128,RI-023-01,23,Risk,Field issue recurrence needs containment — Connected Plant Pilot,Quality,3,1,3,Low,Technical Lead,20260317,20260529,,2026-03-17,2026-05-29,,Mitigated,Completed,0,0
129,RI-023-02,23,Issue,Test environment availability may move the baseline,Schedule,4,5,20,Critical,Systems Lead,20260216,20260518,20260523,2026-02-16,2026-05-18,2026-05-23,Closed,Completed,0,0
130,RI-023-03,23,Issue,Competing portfolio priority constrains staffing — Connected Plant Pilot,Resource,5,3,15,High,Security Lead,20260506,20260721,,2026-05-06,2026-07-21,,Mitigated,Completed,0,0
131,RI-024-01,24,Issue,Scope clarification may require a budget change,Cost,3,3,9,Medium,Quality Lead,20260627,20260811,,2026-06-27,2026-08-11,,Monitoring,In Progress,0,0
132,RI-024-02,24,Issue,Defect closure rate may miss the exit criterion — Reliability Benchmarking,Quality,3,3,9,Medium,Finance Partner,20260602,20260803,20260725,2026-06-02,2026-08-03,2026-07-25,Closed,Completed,0,0
133,RI-024-03,24,Issue,Integration sequence may compress validation — Reliability Benchmarking,Schedule,3,5,15,High,Data Lead,20260425,20260704,,2026-04-25,2026-07-04,,Mitigated,Completed,0,0
134,RI-024-04,24,Risk,Scope clarification may require a budget change — Reliability Benchmarking,Cost,4,2,8,Medium,Project Manager,20260428,20260612,,2026-04-28,2026-06-12,,Monitoring,In Progress,0,1
135,RI-024-05,24,Risk,Shared engineer availability may delay delivery,Resource,5,1,5,Low,Product Owner,20260512,20260811,,2026-05-12,2026-08-11,,Monitoring,Completed,0,0
136,RI-025-01,25,Issue,Integration sequence may compress validation — RDE Capacity Planning Modernization,Schedule,3,5,15,High,Supplier Manager,20260715,20260811,,2026-07-15,2026-08-11,,Mitigated,Completed,0,0
137,RI-025-02,25,Issue,Shared engineer availability may delay delivery — RDE Capacity Planning Modernization,Resource,2,4,8,Medium,Release Manager,20260716,20260811,,2026-07-16,2026-08-11,,Monitoring,In Progress,0,0
138,RI-025-03,25,Risk,Late design decision may affect downstream work — RDE Capacity Planning Modernization,Schedule,4,1,4,Low,Technical Lead,20260713,20260811,,2026-07-13,2026-08-11,,Open,In Progress,0,0
139,RI-025-04,25,Issue,Contractor transition may reduce throughput,Resource,4,3,12,High,Systems Lead,20260703,20260811,,2026-07-03,2026-08-11,,Open,Not Started,0,0
140,RI-026-01,26,Risk,Rework could consume management reserve — Connected Asset Modernization,Cost,3,2,6,Medium,Project Manager,20260319,20260614,,2026-03-19,2026-06-14,,Mitigated,Completed,0,0
141,RI-026-02,26,Risk,Shared engineer availability may delay delivery — Connected Asset Modernization,Resource,2,3,6,Medium,Product Owner,20260503,20260608,,2026-05-03,2026-06-08,,Monitoring,In Progress,0,1
142,RI-026-03,26,Risk,Performance margin may not meet the target — Connected Asset Modernization,Technical,2,2,4,Low,Quality Lead,20260426,20260702,,2026-04-26,2026-07-02,,Mitigated,Completed,0,0
143,RI-026-04,26,Risk,Interface behavior remains unproven — Connected Asset Modernization,Technical,4,2,8,Medium,Finance Partner,20260725,20260811,20260802,2026-07-25,2026-08-11,2026-08-02,Closed,Completed,0,0
144,RI-026-05,26,Issue,Technical debt may complicate integration — Connected Asset Modernization,Technical,1,4,4,Low,Data Lead,20260216,20260412,,2026-02-16,2026-04-12,,Monitoring,In Progress,0,1
145,RI-026-06,26,Risk,Regression scope may exceed the test window — Connected Asset Modernization,Quality,4,4,16,High,Project Manager,20260716,20260811,,2026-07-16,2026-08-11,,Open,In Progress,0,0
